Price,Close,High,Low,Open,Volume
Ticker,LT.NS,LT.NS,LT.NS,LT.NS,LT.NS
Date,,,,,
2019-01-01,1298.8653564453125,1301.6578183540614,1283.82190945377,1301.6578183540614,786846
2019-01-02,1284.092529296875,1301.5681002672536,1276.525774757409,1298.0549524495243,2058504
2019-01-03,1256.61767578125,1287.244916624664,1253.0144709761423,1284.5425130208332,2290756
2019-01-04,1250.357177734375,1267.9677756133563,1237.2955600409389,1262.83325264244,2711485
2019-01-07,1246.529052734375,1268.8688620409848,1242.2502459764894,1258.419587529739,1851513
2019-01-08,1245.087646484375,1255.582004747731,1238.6019204128384,1249.861937871137,1437271
2019-01-09,1248.5556640625,1255.3116736946097,1235.8993620339104,1251.6633845088327,1413005
2019-01-10,1254.455810546875,1260.1309024596444,1246.0333407724406,1250.312146750152,1063647
2019-01-11,1233.7374267578125,1255.6269421241327,1226.0356416926961,1254.8161989696216,2489197
2019-01-14,1201.578857421875,1231.5754742698737,1198.9665117001816,1231.5754742698737,3080984
2019-01-15,1207.884521484375,1214.2801889144791,1198.065765026897,1207.073778297776,3079248
2019-01-16,1209.010498046875,1226.4409813719878,1203.4705480080615,1209.686099028167,2454470
2019-01-17,1212.5238037109375,1217.7034119115447,1204.326422763696,1211.6679763793875,1610419
2019-01-18,1187.1661376953125,1217.8834421660065,1182.7521890266025,1216.8474986068545,2135781
2019-01-21,1184.1484375,1204.5965837957342,1147.1254147066632,1152.1249060944058,8813681
2019-01-22,1172.0777587890625,1190.409045211563,1169.3302705459016,1186.2653807808008,2544978
2019-01-23,1172.3475341796875,1177.2569660950862,1165.2312935400714,1171.9422176737596,1821323
2019-01-24,1166.8529052734375,1176.0411442211894,1159.3312366471605,1175.5456595373305,1654706
2019-01-25,1157.9349365234375,1183.7429146333973,1154.3768155282903,1171.041638850392,3136788
2019-01-28,1171.4471435546875,1205.1822221603202,1163.5201571645996,1166.9431365281232,8004136
2019-01-29,1151.26904296875,1178.9686804780554,1142.3960629847052,1174.6447906385097,3685535
2019-01-30,1166.042236328125,1179.1489396493857,1153.9265024376343,1156.8991908077448,2385425
2019-01-31,1183.92333984375,1190.5891823240433,1167.9341147798355,1174.6450413151754,5852257
2019-02-01,1193.201416015625,1202.1644551979152,1182.752142612336,1185.0041459303336,2515736
2019-02-04,1177.7076416015625,1195.2281829019655,1173.3837513771632,1195.2281829019655,2308931
2019-02-05,1175.185302734375,1191.7600679237182,1171.041638927312,1180.6801684325078,1447400
2019-02-06,1184.01318359375,1190.859251093446,1164.7810989211835,1178.2480336083413,2034886
2019-02-07,1167.483642578125,1189.8234502522662,1161.313065314565,1183.6529829498093,1556295
2019-02-08,1136.5860595703125,1170.0508504256486,1131.0011353999382,1166.5377033037882,2993525
2019-02-11,1122.8486328125,1134.1086471808565,1099.878203501053,1134.1086471808565,2981408
2019-02-12,1123.1639404296875,1139.4234458743726,1118.389760104989,1121.04707962791,1571390
2019-02-14,1105.8236083984375,1109.5619556318754,1081.9523749304085,1098.0767395293333,6974738
2019-02-15,1119.7862548828125,1129.514954478432,1108.7965212324134,1120.5969981759665,3620228
2019-02-18,1121.0472412109375,1134.6043450428856,1116.9936352764664,1121.4976418703232,2186849
2019-02-19,1133.4783935546875,1144.017725466274,1121.4976915004024,1121.4976915004024,2389086
2019-02-20,1149.91796875,1155.41283480844,1138.792984481834,1139.5136695220979,2433082
2019-02-21,1156.7191162109375,1163.3850689115968,1139.6038887163031,1154.8274551642796,2392129
2019-02-22,1153.3408203125,1156.088308018596,1139.9639441844963,1154.8271643180751,2390188
2019-02-25,1149.2872314453125,1158.8357025255077,1138.6127588235593,1153.3408369949218,5873730
2019-02-26,1140.2791748046875,1148.521527760835,1128.7039013994715,1138.432598324938,2417931
2019-02-27,1157.25927734375,1166.5375738460332,1142.215941032255,1144.5130281157683,3555914
2019-02-28,1164.69091796875,1173.6989303586581,1146.9902615914511,1164.736002015135,9321535
2019-03-01,1178.7435302734375,1181.8061665821103,1168.5644320724516,1171.3119198940983,2831577
2019-03-05,1176.266357421875,1180.410021324749,1150.3683205775449,1172.8432685675782,3948051
2019-03-06,1186.3553466796875,1195.8588446561323,1180.5001380590209,1180.5001380590209,2776738
2019-03-07,1218.24365234375,1222.657600532894,1180.049656729153,1192.525732252735,6207580
2019-03-08,1206.5333251953125,1227.7922146228275,1204.3713800078651,1216.0817973153464,4868283
2019-03-11,1212.973876953125,1216.9823982330422,1207.0735852200419,1210.271473404125,2661353
2019-03-12,1251.1229248046875,1263.824200911436,1220.58573929793,1220.58573929793,6631152
2019-03-13,1241.8446044921875,1258.914854475719,1236.6649972077792,1257.248284163166,2241672
2019-03-14,1242.88037109375,1257.5183895973003,1240.40316796238,1247.3392927457855,1838850
2019-03-15,1257.968994140625,1270.8504964968572,1241.8446291515447,1248.510580650846,5723980
2019-03-18,1242.114990234375,1271.6612082219922,1234.413094789734,1258.4194725029301,2450686
2019-03-19,1223.2431640625,1238.5567871979601,1212.9290324645285,1234.9986658068094,4053209
2019-03-20,1234.9085693359375,1244.9074421394832,1225.990614147494,1226.8914154804459,3871744
2019-03-22,1256.347412109375,1274.6337207806268,1239.6825896115363,1242.204877001049,3788604
2019-03-25,1240.1781005859375,1251.212915717354,1234.1877503795224,1249.4113132469188,1666203
2019-03-26,1236.6201171875,1251.032938553503,1232.0710264594152,1242.9257265351264,2021089
2019-03-27,1230.89990234375,1253.104676560339,1227.9273240063953,1242.2050027345108,2558997
2019-03-28,1249.14111328125,1254.365804782917,1228.6929678448105,1234.998576917328,3184285
2019-04-01,1272.1116943359375,1282.7411948507452,1252.204005368748,1252.204005368748,3842703
2019-04-02,1269.9046630859375,1285.398401832534,1264.2746548261132,1274.723928164127,2737093
2019-04-03,1241.349365234375,1274.6339316923593,1238.6018770862147,1269.5894660397198,2366304
2019-04-04,1232.9267578125,1255.6270176996477,1230.2243537755373,1247.5198055887597,1980318
2019-04-05,1237.5208740234375,1254.5910147305399,1234.3680694629948,1237.4757899738497,2037782
2019-04-08,1237.3857421875,1249.2313014130525,1229.9991054645807,1242.8355241394852,1013017
2019-04-09,1238.781982421875,1249.4114824211465,1230.4946539201776,1239.4126093485693,2209945
2019-04-10,1235.494140625,1244.9074707865207,1229.5938477739512,1234.097854542354,2014958
2019-04-11,1241.30419921875,1250.2671282257675,1235.5841329199397,1235.5841329199397,3110225
2019-04-12,1225.900634765625,1244.7723799189607,1223.5585731417023,1243.1059193381564,2751659
2019-04-15,1222.2972412109375,1232.2961131190273,1219.6848955871076,1229.5937093621874,1933204
2019-04-16,1244.3668212890625,1252.9244328377233,1225.0896532819672,1225.0896532819672,3217456
2019-04-18,1225.7200927734375,1249.9516659369524,1222.7475149260965,1249.4112072338976,2594906
2019-04-22,1225.224853515625,1234.9084670427187,1218.3337018971492,1226.8913138513253,3101477
2019-04-23,1214.460205078125,1229.5937101100697,1204.0109325375395,1226.6210219913016,2016454
2019-04-24,1225.6754150390625,1228.1975929168298,1216.0818583862388,1218.784262515986,1753395
2019-04-25,1220.7210693359375,1243.6014474529654,1218.018665069228,1231.2604019916594,2886022
2019-04-26,1223.4683837890625,1231.395479875115,1216.9826578721872,1223.4683837890625,1767153
2019-04-30,1214.775634765625,1230.944974085122,1207.0737396809832,1229.593772137718,1905624
2019-05-02,1223.9638671875,1239.9530915794617,1208.875444169733,1215.586370423044,1985540
2019-05-03,1228.3323974609375,1236.9800663067617,1225.089535388888,1226.8911376468127,1239667
2019-05-06,1218.513916015625,1229.4586741755102,1215.9917382664032,1219.0544847829083,1515052
2019-05-07,1231.0350341796875,1238.016244252373,1216.0817545968637,1222.7477062068733,2596385
2019-05-08,1225.4051513671875,1234.998708182269,1220.5858859131836,1228.6030402925837,1601700
2019-05-09,1221.8919677734375,1233.016952601925,1204.9118840325787,1222.3874525087117,2464425
2019-05-10,1221.0362548828125,1227.3418644616984,1211.6678986591041,1224.7746025539443,1466154
2019-05-13,1186.9407958984375,1220.585700787711,1181.851246814374,1211.577688235772,3422913
2019-05-14,1208.6951904296875,1213.9648558772549,1157.7999185753451,1179.1488647315791,3132767
2019-05-15,1194.282470703125,1220.5858260701593,1189.5081795761218,1213.8298159627598,2054728
2019-05-16,1204.5064697265625,1214.2801417536514,1178.5183744416354,1194.4625133274048,2058450
2019-05-17,1226.80126953125,1235.4489397164123,1200.3627742936642,1202.5696934169962,2776586
2019-05-20,1307.46826171875,1310.6661509512226,1261.1220696437879,1261.1220696437879,6210427
2019-05-21,1305.35107421875,1317.0165164261214,1295.2170601187063,1310.6658236056578,2961180
2019-05-22,1316.160888671875,1327.240789751088,1298.5952615704105,1306.2520733838694,3304912
2019-05-23,1329.672607421875,1407.4117936855816,1320.5745374439794,1329.7626655481745,10485813
2019-05-24,1390.9722900390625,1395.521270433315,1342.5091381823854,1344.896283517753,5626500
2019-05-27,1437.678955078125,1441.2821604793232,1380.1177268017616,1390.5670004730162,6730594
2019-05-28,1418.3116455078125,1447.5876877301077,1408.2227149417984,1437.6788734394847,4987068
2019-05-29,1398.44873046875,1438.534382478906,1392.8187231639529,1414.4379512143742,3070738
2019-05-30,1403.98876953125,1413.6723827154392,1387.2338887117542,1396.241900976116,2675199
2019-05-31,1403.0430908203125,1424.6172376944148,1382.5498615079205,1414.2129388283008,3945900
2019-06-03,1404.70947265625,1414.2579437876946,1392.9990565611927,1408.5828520033467,2617068
2019-06-04,1414.077880859375,1427.770016210203,1403.4483818646663,1406.150785680837,3854101
2019-06-06,1365.5247802734375,1415.8795974288744,1361.6512905072111,1413.9428525457613,3268594
2019-06-07,1363.677978515625,1381.5588617056112,1347.148297228576,1367.9118104548174,2572146
2019-06-10,1380.1177978515625,1389.0357536708536,1370.3892087441511,1373.7221299274008,1608705
2019-06-11,1373.0914306640625,1387.4140830010372,1371.019543742301,1387.4140830010372,1745105
2019-06-12,1359.5343017578125,1374.532664730165,1354.5348107799978,1372.9111784776057,1495586
2019-06-13,1367.0111083984375,1377.3252396883147,1355.3456651464576,1359.3092130082844,1828211
2019-06-14,1374.89306640625,1387.1439420782754,1362.9574491965998,1370.1187755379515,1854211
2019-06-17,1350.075927734375,1384.5315769326,1346.9231232325767,1378.2259679290032,2048759
2019-06-18,1355.9761962890625,1369.1728469312711,1349.2201867612043,1351.2019055716057,2098714
2019-06-19,1355.8409423828125,1378.225830115013,1348.499390641944,1363.7679269323141,2140698
2019-06-20,1402.6375732421875,1407.9523224914103,1357.5525376572948,1359.5342563788618,3483179
2019-06-21,1387.0087890625,1414.2129440906856,1378.2259764673647,1405.2500152216269,3028524
2019-06-24,1388.1348876953125,1408.3578341253813,1384.6668244716818,1392.1884937917623,1941777
2019-06-25,1382.7301025390625,1398.0437258245115,1370.2089415075627,1392.458801316613,2384122
2019-06-26,1397.322998046875,1408.628098876012,1377.3252522343228,1380.9284576031503,2789166
2019-06-27,1397.052734375,1413.312131586498,1387.8195212072112,1405.2500040732082,3763146
2019-06-28,1399.124267578125,1417.7709168984122,1394.1248872959675,1401.8266709612615,3002811
2019-07-01,1402.232421875,1413.3572963839538,1398.2688740038193,1408.3578049840062,1537022
2019-07-02,1408.718017578125,1410.609678217296,1398.9443459748331,1405.24995474613,1294135
2019-07-03,1421.5096435546875,1426.779309568224,1405.430251157979,1409.7541417112477,2800104
2019-07-04,1415.789306640625,1432.8144725704992,1412.6815862554897,1425.9233208892297,1981745
2019-07-05,1403.763671875,1433.760398893274,1392.2334813101224,1424.1668431379815,3693134
2019-07-08,1342.509033203125,1397.367847734944,1316.5660248753322,1396.1517881191398,4697122
2019-07-09,1375.1632080078125,1385.7927070649607,1338.005155317192,1339.1311569138775,4329323
2019-07-10,1350.7965087890625,1377.8655193803006,1335.6179203154036,1372.6409382989236,2823544
2019-07-11,1346.8780517578125,1362.867274737631,1342.2839871473793,1362.0115574921635,2156264
2019-07-12,1321.3402099609375,1350.3009903519637,1316.9713461604877,1350.3009903519637,3495971
2019-07-15,1297.6943359375,1327.736037419497,1289.8574085808389,1325.0787175583905,3950399
2019-07-16,1316.2509765625,1318.7732644954324,1285.3535541701813,1298.955633471594,3654380
2019-07-17,1311.071044921875,1324.673230827795,1307.9633248081068,1316.0705354990662,2225647
2019-07-18,1292.8299560546875,1310.6207813757387,1289.9474359364738,1301.4777363315168,2342881
2019-07-19,1271.5262451171875,1303.2794940916688,1263.013606011194,1302.9191515437087,3199700
2019-07-22,1264.454833984375,1278.2371388742258,1255.7171047150605,1269.7695840381589,2646126
2019-07-23,1269.6795654296875,1274.4538568045368,1248.6908489553462,1274.4538568045368,4013444
2019-07-24,1265.892578125,1295.8666589392249,1255.6731415636875,1286.787789466608,5434450
