Price,Close,High,Low,Open,Volume
Ticker,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS
Date,,,,,
2019-01-01,16577.849609375,16951.927431853936,16268.673037693521,16857.919623985537,12171
2019-01-02,16545.326171875,16797.36555461191,16381.289398880743,16574.432731734825,13931
2019-01-03,16553.580078125,16927.657927585584,16408.6367387409,16477.006058485655,24843
2019-01-04,16347.203125,16623.51325385281,16222.47870341379,16457.57075118598,30506
2019-01-07,16527.5,16589.228869817438,16408.733112705464,16555.14150077736,11758
2019-01-08,16363.5595703125,16505.134025799787,16225.991129195936,16458.641367588694,10883
2019-01-09,15964.626953125,16545.863450034023,15842.440641478877,16481.88930192876,23593
2019-01-10,16111.8681640625,16213.298569067192,15920.091617435033,16086.326953767268,9641
2019-01-11,15542.49609375,15978.399173322903,15451.467032731338,15950.758623439107,47981
2019-01-14,15135.5537109375,15705.412284627117,15042.5712285395,15705.412284627117,43144
2019-01-15,15254.8564453125,15508.115759297702,15100.000120541887,15138.92141762907,23989
2019-01-16,15454.3505859375,15529.605496021928,15286.99165504935,15392.86683127708,16308
2019-01-17,15543.9619140625,15861.683750644994,15359.853084813942,15529.604164732476,16720
2019-01-18,15227.0673828125,15606.761258476352,15114.502188805403,15529.601602714438,16832
2019-01-21,15313.458984375,15382.121128703358,15051.018261052686,15197.523954703425,6880
2019-01-22,15546.7451171875,15821.638835341128,14870.328493614956,15256.126835485426,97794
2019-01-23,15728.2158203125,16250.899674556984,15451.51559470333,15490.535134686046,50789
2019-01-24,15793.849609375,15871.448976827389,15247.725831177098,15632.596069295649,27535
2019-01-25,15356.921875,15938.158397812922,15150.690318292443,15847.032049884981,34071
2019-01-28,14701.748046875,15431.931991743946,14602.807112257246,15344.077226129606,29244
2019-01-29,15121.40234375,15188.565044124387,14533.084298258793,14704.291955761,29614
2019-01-30,15115.5322265625,15252.400900506145,14846.44289902127,15124.973488034188,16654
2019-01-31,15374.154296875,15567.423092387186,15115.190295362505,15163.959637229987,36653
2019-02-01,15439.9951171875,15790.23705432811,15261.939160317133,15459.561705854574,39190
2019-02-04,15562.1904296875,15642.413451388602,15191.158954319904,15271.724009197562,13365
2019-02-05,15335.9521484375,15598.486503687483,15262.430299848005,15516.306820652502,11291
2019-02-06,15683.7470703125,15800.021147183055,15275.685269797643,15457.605828203856,13200
2019-02-07,15893.6474609375,16033.694753082262,15653.174265279387,15786.81369039536,15911
2019-02-08,15841.89453125,16135.784154553427,15506.523352905633,15842.579553014346,19404
2019-02-11,15617.416015625,15839.154781429874,15482.161960743426,15751.105125449103,11517
2019-02-12,15478.4931640625,15866.49921979489,15390.101475261314,15604.355637303284,14344
2019-02-14,15269.42578125,15310.857656069858,14919.52583099459,15218.89467717717,13582
2019-02-15,15276.2734375,15320.640299118128,14750.910484714148,15131.871426958014,17211
2019-02-18,14941.1474609375,15250.202171162053,14720.387954634101,15250.202171162053,29892
2019-02-19,14987.0771484375,15096.65004375581,14850.306886254075,15036.874498201913,26489
2019-02-20,15365.8388671875,15500.65248018283,15017.35771085625,15046.658870238518,28950
2019-02-21,15755.65625,15888.65939543481,15293.24838019298,15293.24838019298,29323
2019-02-22,15796.107421875,15985.903336642976,15466.997010189554,15653.418452648813,11780
2019-02-25,16157.943359375,16259.836761917264,15821.593858592943,15896.876506882889,19223
2019-02-26,16234.5458984375,16559.888208021304,15957.727391635983,15957.727391635983,33129
2019-02-27,16357.3291015625,16783.341967364162,16161.955531301803,16337.126212887368,35008
2019-02-28,16233.2255859375,16581.656089276617,16078.208138834198,16434.07547459811,24556
