Price,Close,High,Low,Open,Volume
Ticker,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS
Date,,,,,
2019-01-01,3903.288818359375,3908.3029132985653,3861.473477094278,3894.331902521806,92921
2019-01-02,3900.2705078125,3912.7809053250394,3868.9696753075355,3894.331557111451,143828
2019-01-03,3797.0224609375,3908.935780258729,3773.559015349394,3904.0678652148204,223538
2019-01-04,3811.1396484375,3824.234293170942,3751.215563031476,3824.234293170942,220079
2019-01-07,3823.016845703125,3880.11739059623,3810.4577207351285,3831.0489050338824,220371
2019-01-08,3812.843017578125,3839.275700030602,3738.5585897283645,3811.5773121839966,271012
2019-01-09,3716.4091796875,3830.951108316657,3699.6148753192747,3813.524070164631,248627
2019-01-10,3717.33447265625,3745.3737099125688,3703.5583686177497,3719.086969551862,138524
2019-01-11,3670.602294921875,3749.8033609174163,3652.0070036760267,3717.3342753043707,248857
2019-01-14,3676.83349609375,3696.645766684244,3639.2043721335845,3670.60242254475,198557
2019-01-15,3726.53466796875,3743.42642715735,3671.4300158429696,3691.8265310222814,298881
2019-01-16,3784.317138671875,3804.7623817673493,3733.8854914981384,3741.4794864718333,201711
2019-01-17,3744.838134765625,3811.3338985750547,3709.351083356781,3789.18488620068,235993
2019-01-18,3719.038330078125,3757.0567937333008,3671.9657346837507,3757.0567937333008,237908
2019-01-21,3747.8564453125,3765.332212438332,3689.879530741119,3709.3511905339483,279969
2019-01-22,3758.517333984375,3784.317284599732,3700.491689599405,3748.294712042441,220491
2019-01-23,3748.92724609375,3783.392226561127,3739.2888695673455,3759.977508108856,171340
2019-01-24,3690.56103515625,3776.090396889193,3670.4566412576864,3754.136052673629,808713
2019-01-25,3418.055419921875,3699.6155904801844,3388.1177411304893,3699.6155904801844,1593195
2019-01-28,3285.30712890625,3417.276352982007,3244.4166426312518,3417.276352982007,1260559
2019-01-29,3319.576904296875,3417.1785919150107,3280.9744366395757,3285.8423512339964,754743
2019-01-30,3351.26708984375,3375.7041162862774,3276.1065357301604,3329.653596492466,303793
2019-01-31,3426.37890625,3446.483297073143,3341.433802388522,3362.7551717770157,621043
2019-02-01,3391.6220703125,3445.071915646993,3354.966768168544,3436.7477340786304,745604
2019-02-04,3356.427001953125,3404.5219014804375,3312.1289806075506,3388.117172453955,320227
2019-02-05,3370.301025390625,3380.2802513631113,3319.918104017341,3356.4274673313153,286515
2019-02-06,3417.6171875,3441.5184600556313,3350.0991112081088,3392.839309936362,341588
2019-02-07,3476.226806640625,3511.5679168597935,3405.106521393236,3416.984186381379,367134
2019-02-08,3463.8134765625,3493.1669075091672,3422.387474387983,3441.6157377032982,287105
2019-02-11,3358.27734375,3471.4078865415577,3349.2232113595774,3471.4078865415577,206491
2019-02-12,3361.149169921875,3405.8852586355165,3324.8344785926815,3349.125325493716,266527
2019-02-14,3402.57470703125,3411.191010582524,3336.127675572882,3362.7552623766073,156493
2019-02-15,3348.58984375,3397.707056243313,3278.1025329536415,3397.707056243313,276417
2019-02-18,3338.659423828125,3367.6235173934488,3290.7104622115808,3360.808436554549,270262
2019-02-19,3375.99658203125,3412.3597652868234,3320.06404726661,3320.06404726661,213945
2019-02-20,3478.952880859375,3501.9780235524454,3379.404019889612,3382.3247688667198,243815
2019-02-21,3535.322998046875,3557.4720096009037,3465.955214608434,3488.3476218938254,394248
2019-02-22,3529.919189453125,3567.694250477093,3509.6201302333175,3535.079225946876,216855
2019-02-25,3618.41845703125,3626.0609405106648,3521.449500939159,3524.370249764931,445514
2019-02-26,3688.467529296875,3715.192332261947,3578.939453463681,3592.5208873287693,700811
2019-02-27,3786.36181640625,3801.84169134062,3701.270517882928,3709.3513044834217,681050
2019-02-28,3725.41552734375,3811.577626956953,3689.879746147344,3811.577626956953,718074
2019-03-01,3775.895751953125,3796.4869374838613,3725.4641046298775,3738.461295164406,270365
2019-03-05,3857.5302734375,3873.5943919312913,3767.8147006834824,3791.034511164365,367903
2019-03-06,3873.546142578125,3913.8038971438737,3831.828251115066,3858.309662781386,349217
2019-03-07,3809.435546875,3882.454270666213,3797.31448626389,3873.692023811267,382836
2019-03-08,3867.07177734375,3880.8478820783134,3782.856845636742,3821.1187060776974,253766
2019-03-11,3942.18310546875,3950.312617762288,3851.153104295423,3870.4788199418304,389964
2019-03-12,3987.552490234375,4038.3737119420184,3943.497860390487,3956.543777245695,609648
2019-03-13,3919.304443359375,4030.6337583059603,3905.0902736863313,3990.7168539362638,380923
2019-03-14,3859.428955078125,3953.866506095366,3828.1283566988755,3930.2571183410555,301915
2019-03-15,3812.6484375,3884.5961252955517,3801.841571247902,3884.5961252955517,339118
2019-03-18,3865.3193359375,3873.886914223451,3814.54707550335,3844.679423038052,286827
2019-03-19,3872.9130859375,3906.014907184829,3855.437319023097,3865.3190911719403,370780
2019-03-20,3818.6845703125,3903.824354382409,3807.585581724875,3898.9077127947653,295550
2019-03-22,3825.9375,3871.8418398430667,3781.006743082056,3841.6122801709294,399902
2019-03-25,3768.78857421875,3807.683168093283,3748.294604233991,3807.683168093283,265291
2019-03-26,3821.897705078125,3840.5417253551127,3728.823070691446,3766.792809531385,336761
2019-03-27,3798.8720703125,3891.605849378168,3777.5019713888796,3847.3078236827573,443206
2019-03-28,3805.687255859375,3863.177380084603,3791.5703022275134,3816.4453956480957,544435
2019-04-01,3946.41845703125,4036.4748792035434,3913.803428460744,3933.275087308807,740396
2019-04-02,3919.645263671875,3975.6262876810983,3880.312604487949,3954.69425261678,413689
2019-04-03,3895.8896484375,3966.328232628505,3879.7280763054137,3918.6713945117413,253841
2019-04-04,3972.169677734375,4003.373058572029,3895.8895968230136,3920.034263638137,713853
2019-04-05,4079.70263671875,4094.8906285630787,3976.259429565914,3995.5851496963564,738916
2019-04-08,4056.7744140625,4123.562302863827,4026.7392834698253,4112.414587373439,789953
2019-04-09,4053.220947265625,4064.368187417893,3998.9436948614566,4044.263793487253,262712
2019-04-10,4021.91943359375,4059.792188565512,4011.16153274258,4057.7960583987397,231779
2019-04-11,4030.779052734375,4051.0783507942597,3985.7023556866616,4030.6331103792922,447838
2019-04-12,4056.433349609375,4086.030176128529,4027.712652666263,4040.4666843513587,397313
2019-04-15,4113.68017578125,4122.442423028406,4048.1582281860087,4069.3821480317397,295636
2019-04-16,4142.6435546875,4171.802551472045,4094.9869589612977,4117.866156151401,269121
2019-04-18,4147.4150390625,4166.6433030716935,4108.520208546673,4166.6433030716935,210890
2019-04-22,4093.769775390625,4165.960845705405,4069.5761474757164,4123.1232020477655,182038
2019-04-23,4087.344482421875,4120.738186331266,4071.5722490092144,4100.731247534315,316043
2019-04-24,4278.556640625,4314.920062491647,4001.9131130126157,4046.5030263935478,1985862
2019-04-25,4496.97900390625,4562.793297004792,4330.983134634543,4332.930300256498,3326400
